#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,204,164","+399,822","470,852","+3,290","29,740,843","+280,566","3,992,469","29,611",Asia
66,Lithuania,"234,232",+592,"3,770",+10,"211,503",+92,"18,959",193,"87,018","1,401","2,613,526","970,938","2,691,755",Europe,11,714,1
67,Slovenia,"232,311",+234,"4,167",+8,"216,261",+275,"11,883",157,"111,733","2,004","1,131,746","544,327","2,079,167",Europe,9,499,2
68,Costa Rica,"230,837",+536,"3,099",+8,"197,842",+336,"29,896",263,"44,987",604,"914,427","178,208","5,131,234",North America,22,"1,656",6
69,Egypt,"217,186",+852,"12,778",+40,"163,812",+333,"40,596",90,"2,091",123,"2,677,262","25,775","103,868,594",Africa,478,"8,129",39
70,Guatemala,"213,049",+315,"7,241",+20,"191,492",+548,"14,316",5,"11,719",398,"1,166,672","64,177","18,179,031",North America,85,"2,511",16
71,Armenia,"208,818",+298,"3,895",+17,"189,017","+1,551","15,906","70,364","1,312","937,603","315,939","2,967,674",Asia,14,762,3
72,Honduras,"200,935",+676,"4,957",+3,"76,339",+104,"119,639",576,"20,033",494,"560,904","55,923","10,029,972",North America,50,"2,023",18
73,Qatar,"197,476",+896,386,+4,"174,698",+728,"22,392",461,"70,331",137,"1,844,598","656,954","2,807,805",Asia,14,"7,274",2
74,Bosnia and Herzegovina,"191,154",+387,"7,938",+68,"148,146","+2,283","35,070","58,556","2,432","872,381","267,237","3,264,452",Europe,17,411,4
75,Venezuela,"184,595","+1,405","1,925",+20,"166,826",+867,"15,844",289,"6,506",68,"3,359,014","118,394","28,371,389",South America,154,"14,738",8
76,Oman,"181,430","+1,399","1,890",+12,"161,670","+1,346","17,870",265,"34,826",363,"1,550,000","297,529","5,209,578",Asia,29,"2,756",3
77,Libya,"172,464",+584,"2,908",+12,"157,658",+648,"11,898","24,830",419,"932,398","134,241","6,945,719",Africa,40,"2,388",7
78,Uruguay,"167,033","+2,289","1,971",+63,"136,304","+3,387","28,758",519,"47,952",566,"1,641,855","471,343","3,483,355",South America,21,"1,767",2
79,Bahrain,"165,118","+1,008",600,+6,"153,671","+1,310","10,847",95,"94,446",343,"3,918,378","2,241,282","1,748,275",Asia,11,"2,914",0
