#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
57,Nepal,"292,152","+2,365","3,117",+5,"276,345",+252,"12,690",,"9,884",105,"2,379,402","80,496","29,559,245",Asia,101,"9,483",12,80,0.2,429
58,Palestine,"287,680","+1,652","3,115",+19,"256,559","+2,360","28,006",153,"55,357",599,"1,698,129","326,764","5,196,805",Asia,18,"1,668",3,318,4,"5,389"
59,Dominican Republic,"262,935",+531,"3,441",+6,"220,159",+514,"39,335",183,"24,043",315,"1,381,990","126,372","10,935,868",North America,42,"3,178",8,49,0.5,"3,597"
60,Kuwait,"262,766","+1,459","1,493",+11,"245,824","+1,414","15,449",229,"60,804",345,"2,256,129","522,065","4,321,546",Asia,16,"2,895",2,338,3,"3,575"
61,Paraguay,"260,382","+2,676","5,633",+72,"213,710","+1,971","41,039",503,"36,148",782,"1,045,978","145,208","7,203,319",South America,28,"1,279",7,371,10,"5,697"
62,Moldova,"248,009",+618,"5,668",+25,"235,054",+850,"7,287",242,"61,596","1,408","955,644","237,347","4,026,351",Europe,16,710,4,153,6,"1,810"
63,Ethiopia,"247,989","+1,505","3,496",+22,"185,107","+1,175","59,386","1,059","2,115",30,"2,528,645","21,566","117,252,772",Africa,473,"33,539",46,13,0.2,506
64,Denmark,"245,761",+893,"2,467",+2,"233,614",+715,"9,680",44,"42,309",425,"33,781,913","5,815,712","5,808,732",Europe,24,"2,355",0,154,0.3,"1,666"
65,Ireland,"245,310",+615,"4,866",+10,"226,628",+356,"13,816",48,"49,236",977,"4,351,054","873,291","4,982,365",Europe,20,"1,024",1,123,2,"2,773"
66,Lithuania,"237,985","+1,379","3,819",+15,"215,031","+1,061","19,135",201,"88,426","1,419","2,671,655","992,685","2,691,343",Europe,11,705,1,512,6,"7,110"
67,Costa Rica,"235,274","+1,776","3,125",+10,"199,779",+400,"32,370",281,"45,847",609,"932,115","181,637","5,131,742",North America,22,"1,642",6,346,2,"6,308"
68,Slovenia,"234,811",+745,"4,187",+11,"219,232","+1,517","11,392",154,"112,935","2,014","1,144,379","550,402","2,079,170",Europe,9,497,2,358,5,"5,479"
69,Egypt,"219,774",+872,"12,914",+48,"165,348",+545,"41,512",90,"2,115",124,"2,677,262","25,770","103,889,720",Africa,473,"8,045",39,8,0.5,400
70,Guatemala,"218,145","+1,816","7,345",+36,"194,075",+762,"16,725",5,"11,997",404,"1,198,336","65,905","18,182,658",North America,83,"2,476",15,100,2,920
71,Armenia,"211,399",+881,"3,969",+25,"191,158",+887,"16,272",,"71,232","1,337","951,500","320,615","2,967,734",Asia,14,748,3,297,8,"5,483"
72,Honduras,"203,359",+946,"4,981",+5,"77,020",+574,"121,358",546,"20,272",497,"567,813","56,602","10,031,695",North America,49,"2,014",18,94,0.5,"12,097"
73,Qatar,"199,980",+800,407,+7,"177,164",+976,"22,409",449,"71,223",145,"1,862,459","663,315","2,807,805",Asia,14,"6,899",2,285,2,"7,981"
