#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,650,551","+446,048","474,557","+3,700","30,052,814","+311,994","4,123,180","29,745",Asia
42,UAE,"500,860","+1,903","1,559",+3,"483,180","+1,854","16,121","50,156",156,"42,101,280","4,216,043","9,985,970",Asia,20,"6,405",0
43,Saudi Arabia,"407,010","+1,070","6,846",+12,"390,538",+940,"9,626","1,105","11,547",194,"16,293,609","462,271","35,246,885",Asia,87,"5,149",2
44,Bulgaria,"390,911","+2,096","15,518",+106,"314,273","+3,351","61,120",765,"56,602","2,247","2,391,777","346,316","6,906,335",Europe,18,445,3
45,Malaysia,"379,473","+2,341","1,389",+3,"356,816","+1,592","21,268",249,"11,606",42,"8,718,106","266,629","32,697,551",Asia,86,"23,540",4
46,Slovakia,"376,709",+642,"11,244",+72,"255,300","110,165",430,"68,972","2,059","2,513,141","460,133","5,461,766",Europe,14,486,2
47,Panama,"361,319",+275,"6,192",+3,"351,228",+393,"3,899",105,"82,700","1,417","2,312,363","529,265","4,369,010",North America,12,706,2
48,Ecuador,"361,154",+591,"17,744",+41,"309,541","33,869",644,"20,225",994,"1,231,653","68,973","17,857,054",South America,49,"1,006",14
49,Belarus,"345,998",+888,"2,443",+10,"336,227",+742,"7,328","36,626",259,"5,685,902","601,885","9,446,826",Europe,27,"3,867",2
50,Greece,"320,629","+3,750","9,627",+87,"278,690","+3,137","32,312",847,"30,883",927,"7,568,084","728,955","10,382,100",Europe,32,"1,078",1
51,Croatia,"310,306","+2,106","6,643",+42,"289,664","+1,877","13,999",213,"75,964","1,626","1,713,174","419,393","4,084,894",Europe,13,615,2
52,Azerbaijan,"303,858","+2,197","4,203",+34,"267,485","+1,946","32,170","29,754",412,"3,128,656","306,360","10,212,350",Asia,34,"2,430",3
53,Georgia,"297,728","+1,792","3,959",+10,"282,237",+663,"11,532","74,749",994,"3,916,479","983,296","3,983,013",Asia,13,"1,006",1
54,Kazakhstan,"292,250","+2,530","3,436",+30,"250,180","+2,084","38,634",221,"15,417",181,"9,624,583","507,724","18,956,336",Asia,65,"5,517",2
55,Bolivia,"290,362","+1,296","12,666",+18,"239,194",+999,"38,502",71,"24,606","1,073","1,058,977","89,742","11,800,288",South America,41,932,11
56,Tunisia,"289,230","+2,169","9,918",+93,"239,104","+2,511","40,208",483,"24,269",832,"1,240,902","104,124","11,917,582",Africa,41,"1,202",10
57,Nepal,"287,567","+1,667","3,102",+11,"275,806",+251,"8,659","9,730",105,"2,360,557","79,870","29,554,944",Asia,103,"9,528",13
58,Palestine,"284,280","+2,010","3,078",+31,"251,663","+2,281","29,539",165,"54,713",592,"1,691,240","325,499","5,195,830",Asia,18,"1,688",3
59,Dominican Republic,"261,848",+317,"3,426",+4,"219,262",+274,"39,160",177,"23,946",313,"1,374,857","125,730","10,934,977",North America,42,"3,192",8
60,Kuwait,"259,868","+1,371","1,468",+12,"243,056","+1,360","15,344",248,"60,140",340,"2,236,571","517,602","4,321,028",Asia,17,"2,943",2
61,Paraguay,"255,046","+2,603","5,470",+86,"209,754","+1,951","39,822",521,"35,410",759,"1,033,135","143,439","7,202,601",South America,28,"1,317",7
62,Moldova,"246,691",+453,"5,616",+25,"233,281",+953,"7,794",262,"61,268","1,395","943,661","234,367","4,026,427",Europe,16,717,4
63,Ethiopia,"245,155","+1,524","3,439",+47,"181,935","+1,290","59,781",965,"2,091",29,"2,514,749","21,452","117,229,360",Africa,478,"34,088",47
64,Ireland,"244,297",+386,"4,847",+11,"225,763",+768,"13,687",47,"49,037",973,"4,313,778","865,888","4,981,913",Europe,20,"1,028",1
